Game,Console,Developer,Country
Sekiro: Shadows Die Twice,PS4,FromSoftware,Japan
Shovel Knight: Pocket Dungeon,PS4,Yacht Club Games,USA
Shovel Knight: Treasure Trove,PS4,Yacht Club Games,USA
ShredIt,PS4,Extra Mile Studios,Scotland
Slain: Back from Hell,PS4,Wolf Brew Games,USA
Slay the Spire,PS4,Humble Bundle,USA
Sleeping Dogs,PS4,United Front Games,Canada
Slender: The Arrival,PS4,Blue Isle Studios,Canada
Sniper Elite V2 Remastered,PS4,Rebellion Developments,England
Sonic Mania,PS4,Christian Whitehead,Australia
SoulCalibur VI,PS4,Bandai Namco Studios,Japan
Sound Shapes,PS4,Queasy Games,Canada
South Park: The Fractured But Whole,PS4,Ubisoft San Francisco,USA
South Park: The Stick of Truth,PS4,Obsidian Entertainment,USA
Spelunky,PS4,Mossmouth LLC,USA
SpongeBob Squarepants: Battle for Bikini Bottom - Rehydrated,PS4,Purple Lamp Studios,Austria
Spy Chameleon,PS4,Unfinished Pixel,Spain
Spyro Reignited Trilogy (2018),PS4,Toys for Bob,USA
Star Wars Episode I: Racer,PS4,LucasArts,USA
Stardew Valley,PS4,ConcernedApe,USA
Stealth Inc 2: A Game Of Clones,PS4,Curve Studios,England
Stealth Inc: A Clone In The Dark,PS4,Curve Studios,England
SteamWorld Dig,PS4,Image & Form,Sweden
SteamWorld Dig 2,PS4,Image & Form,Sweden
SteamWorld Heist,PS4,Image & Form,Sweden
Stikbold! A Dodgeball Adventure,PS4,Game Swing,Denmark
Stranded Deep,PS4,Beam Team Games,Australia
Street Fighter 30th Anniversary Collection,PS4,Capcom,Japan
Super Kickers League Ultimate,PS4,Xaloc Studios,Spain
Super Meat Boy!,PS4,Team Meat,USA
